,Year,Quater,Transaction_type,Total_Transaction,Transaction_amount,state_name
237,2021,1,Peer-to-peer payments,3942,24823715.017422147,Lakshadweep
238,2021,1,Recharge & bill payments,3541,1070209.4218526704,Lakshadweep
239,2021,1,Merchant payments,1537,1040213.7953898906,Lakshadweep
240,2021,1,Financial Services,19,15929.095105497145,Lakshadweep
241,2021,1,Others,46,92715.5843109472,Lakshadweep
242,2021,2,Recharge & bill payments,5499,1745295.828077295,Lakshadweep
243,2021,2,Peer-to-peer payments,4069,23996417.49366483,Lakshadweep
244,2021,2,Merchant payments,1743,1525331.9146529401,Lakshadweep
245,2021,2,Financial Services,29,15052.018496008179,Lakshadweep
246,2021,2,Others,44,101366.40306045809,Lakshadweep
247,2021,3,Peer-to-peer payments,5687,34142107.520169854,Lakshadweep
248,2021,3,Recharge & bill payments,5153,1700287.4734963956,Lakshadweep
249,2021,3,Merchant payments,2450,2750367.063028222,Lakshadweep
250,2021,3,Financial Services,48,137227.35390598275,Lakshadweep
251,2021,3,Others,32,73174.28816768769,Lakshadweep
252,2021,4,Peer-to-peer payments,7154,44696668.86120765,Lakshadweep
253,2021,4,Recharge & bill payments,5355,2093901.2918026838,Lakshadweep
254,2021,4,Merchant payments,2872,4071239.087436496,Lakshadweep
255,2021,4,Financial Services,27,19994.541946360278,Lakshadweep
256,2021,4,Others,62,116381.74598782149,Lakshadweep
257,2020,1,Recharge & bill payments,2684,789255.2646123999,Lakshadweep
258,2020,1,Peer-to-peer payments,2068,12463327.261836832,Lakshadweep
259,2020,1,Merchant payments,387,216594.03077193064,Lakshadweep
260,2020,1,Others,12,33192.017283045374,Lakshadweep
261,2020,2,Recharge & bill payments,4497,1061694.138574572,Lakshadweep
262,2020,2,Peer-to-peer payments,2176,14718605.188911092,Lakshadweep
263,2020,2,Merchant payments,472,971609.4583537823,Lakshadweep
264,2020,2,Financial Services,60,158593.59701229632,Lakshadweep
265,2020,2,Others,15,32419.703092655054,Lakshadweep
266,2020,3,Recharge & bill payments,4696,1186947.553816269,Lakshadweep
267,2020,3,Peer-to-peer payments,2946,19189391.618742835,Lakshadweep
268,2020,3,Merchant payments,903,842981.169451366,Lakshadweep
269,2020,3,Financial Services,27,45457.50970027798,Lakshadweep
270,2020,3,Others,17,42055.45694608544,Lakshadweep
271,2020,4,Recharge & bill payments,5187,1499298.1127799235,Lakshadweep
272,2020,4,Peer-to-peer payments,4741,27284123.245665,Lakshadweep
273,2020,4,Merchant payments,1668,1227101.6378793938,Lakshadweep
274,2020,4,Financial Services,22,13968.7539965527,Lakshadweep
275,2020,4,Others,32,86826.16675951776,Lakshadweep
276,2018,1,Peer-to-peer payments,423,1860278.2784597143,Lakshadweep
277,2018,1,Recharge & bill payments,342,61432.04938505074,Lakshadweep
278,2018,1,Merchant payments,5,590.7505138175776,Lakshadweep
279,2018,1,Others,8,6310.102519157715,Lakshadweep
280,2018,2,Peer-to-peer payments,1315,5757123.079919379,Lakshadweep
281,2018,2,Recharge & bill payments,750,353202.7988510042,Lakshadweep
282,2018,2,Merchant payments,42,64568.47789279556,Lakshadweep
283,2018,2,Financial Services,6,9134.413223158994,Lakshadweep
284,2018,2,Others,19,3780.7695141997474,Lakshadweep
285,2018,3,Peer-to-peer payments,841,3926048.74488305,Lakshadweep
286,2018,3,Recharge & bill payments,760,300978.32420203416,Lakshadweep
287,2018,3,Merchant payments,87,94046.43333034206,Lakshadweep
288,2018,3,Others,15,17958.809570422687,Lakshadweep
289,2018,4,Recharge & bill payments,792,351201.0879000404,Lakshadweep
290,2018,4,Peer-to-peer payments,689,3841230.430870924,Lakshadweep
291,2018,4,Merchant payments,144,262079.85573632165,Lakshadweep
292,2018,4,Financial Services,6,389.8932323919954,Lakshadweep
293,2018,4,Others,11,8312.430483153179,Lakshadweep
294,2022,1,Merchant payments,449186799,243841863780.6793,Andhra Pradesh
295,2022,1,Peer-to-peer payments,368048408,1375289566667.7056,Andhra Pradesh
296,2022,1,Recharge & bill payments,66352138,50470450179.88254,Andhra Pradesh
297,2022,1,Financial Services,284035,394283511.9410973,Andhra Pradesh
298,2022,1,Others,2582005,642005688.7661512,Andhra Pradesh
299,2022,2,Merchant payments,565370506,307468406704.909,Andhra Pradesh
300,2022,2,Peer-to-peer payments,422056582,1580014085694.835,Andhra Pradesh
301,2022,2,Recharge & bill payments,75099130,63136761649.3931,Andhra Pradesh
302,2022,2,Financial Services,245023,324857780.5553103,Andhra Pradesh
303,2022,2,Others,611316,470432687.3850265,Andhra Pradesh
304,2022,3,Merchant payments,880414292,447150646953.73706,Andhra Pradesh
305,2022,3,Peer-to-peer payments,626830752,2170173323588.53,Andhra Pradesh
306,2022,3,Recharge & bill payments,119779835,87937210666.27194,Andhra Pradesh
307,2022,3,Financial Services,340458,442783619.09123904,Andhra Pradesh
308,2022,3,Others,800064,621900924.4423015,Andhra Pradesh
309,2022,4,Merchant payments,1002521735,491556008133.53546,Andhra Pradesh
310,2022,4,Peer-to-peer payments,694612831,2393380395296.8516,Andhra Pradesh
311,2022,4,Recharge & bill payments,121188131,92136759501.42021,Andhra Pradesh
312,2022,4,Financial Services,401838,498719426.0054372,Andhra Pradesh
313,2022,4,Others,782297,680680558.3343163,Andhra Pradesh
314,2019,1,Peer-to-peer payments,40488967,87361237975.49301,Andhra Pradesh
315,2019,1,Merchant payments,12341901,4144368545.535969,Andhra Pradesh
316,2019,1,Recharge & bill payments,11525394,3619117615.485172,Andhra Pradesh
317,2019,1,Financial Services,463688,54547989.275453925,Andhra Pradesh
318,2019,1,Others,470752,343989909.8750894,Andhra Pradesh
319,2019,2,Peer-to-peer payments,46741594,141095702899.16147,Andhra Pradesh
320,2019,2,Merchant payments,25682382,8442740781.469844,Andhra Pradesh
321,2019,2,Recharge & bill payments,16225017,5603477828.5489645,Andhra Pradesh
322,2019,2,Financial Services,252173,43627344.86329399,Andhra Pradesh
323,2019,2,Others,709213,490894328.3915366,Andhra Pradesh
324,2019,3,Peer-to-peer payments,59981113,180342868388.36203,Andhra Pradesh
325,2019,3,Merchant payments,44035953,14308557740.55424,Andhra Pradesh
326,2019,3,Recharge & bill payments,16437222,6793699069.387364,Andhra Pradesh
327,2019,3,Financial Services,183163,39617186.74048498,Andhra Pradesh
328,2019,3,Others,857925,445278745.3818412,Andhra Pradesh
329,2019,4,Peer-to-peer payments,82587060,249346680995.99316,Andhra Pradesh
330,2019,4,Merchant payments,59347809,21510626607.08445,Andhra Pradesh
331,2019,4,Recharge & bill payments,20797056,9561315124.602655,Andhra Pradesh
332,2019,4,Financial Services,137291,33453857.404595934,Andhra Pradesh
333,2019,4,Others,703042,294688962.659046,Andhra Pradesh
334,2021,1,Merchant payments,185230619,95927278280.53006,Andhra Pradesh
335,2021,1,Peer-to-peer payments,179738195,676276353116.8419,Andhra Pradesh
336,2021,1,Recharge & bill payments,46371555,26447601338.53346,Andhra Pradesh
337,2021,1,Financial Services,262473,320153410.17969453,Andhra Pradesh
338,2021,1,Others,969268,387877900.5044867,Andhra Pradesh
339,2021,2,Peer-to-peer payments,230861833,872151973637.885,Andhra Pradesh
340,2021,2,Merchant payments,205232899,123207789311.2962,Andhra Pradesh
341,2021,2,Recharge & bill payments,58637866,31877277168.343227,Andhra Pradesh
342,2021,2,Financial Services,278546,300569264.1443888,Andhra Pradesh
343,2021,2,Others,856400,420723415.91505665,Andhra Pradesh
344,2021,3,Merchant payments,286735350,159227310549.39368,Andhra Pradesh
345,2021,3,Peer-to-peer payments,271436926,981754679241.0405,Andhra Pradesh
346,2021,3,Recharge & bill payments,62744121,36434881136.01624,Andhra Pradesh
347,2021,3,Financial Services,235519,329138539.4612142,Andhra Pradesh
348,2021,3,Others,1734852,543116826.3422191,Andhra Pradesh
349,2021,4,Merchant payments,376584215,212974766412.01556,Andhra Pradesh
350,2021,4,Peer-to-peer payments,331774591,1204991223519.016,Andhra Pradesh
351,2021,4,Recharge & bill payments,66477036,44760398983.30789,Andhra Pradesh
352,2021,4,Financial Services,298871,392141743.6705663,Andhra Pradesh
353,2021,4,Others,855060,639658842.8998816,Andhra Pradesh
354,2020,1,Peer-to-peer payments,95668911,327641798044.80554,Andhra Pradesh
355,2020,1,Merchant payments,76818285,31076431477.91269,Andhra Pradesh
356,2020,1,Recharge & bill payments,26324268,12324266104.564993,Andhra Pradesh
357,2020,1,Financial Services,88184,59500639.38684589,Andhra Pradesh
358,2020,1,Others,509877,241784101.54604858,Andhra Pradesh
359,2020,2,Peer-to-peer payments,76683293,279478553909.7438,Andhra Pradesh
360,2020,2,Merchant payments,44181999,26712043204.891262,Andhra Pradesh
361,2020,2,Recharge & bill payments,30885875,15106945863.857046,Andhra Pradesh
362,2020,2,Financial Services,116776,134169906.74750492,Andhra Pradesh
363,2020,2,Others,187200,100126467.191328,Andhra Pradesh
364,2020,3,Peer-to-peer payments,116668399,437459188905.0534,Andhra Pradesh
365,2020,3,Merchant payments,86836471,49743225885.179474,Andhra Pradesh
366,2020,3,Recharge & bill payments,32352860,18378477087.576897,Andhra Pradesh
367,2020,3,Financial Services,195857,223377023.50525153,Andhra Pradesh
368,2020,3,Others,318539,156875854.55487928,Andhra Pradesh
369,2020,4,Peer-to-peer payments,160607487,591976601278.5154,Andhra Pradesh
370,2020,4,Merchant payments,143897953,81725950703.21272,Andhra Pradesh
371,2020,4,Recharge & bill payments,38174710,22006183348.80398,Andhra Pradesh
372,2020,4,Financial Services,230134,275357720.01805824,Andhra Pradesh
373,2020,4,Others,733503,366346176.40682477,Andhra Pradesh
374,2018,1,Recharge & bill payments,4209319,831912767.5937189,Andhra Pradesh
375,2018,1,Peer-to-peer payments,3307245,11748268950.760422,Andhra Pradesh
376,2018,1,Merchant payments,351474,282899066.6137372,Andhra Pradesh
377,2018,1,Financial Services,262876,57011875.36233704,Andhra Pradesh
378,2018,1,Others,391852,388111458.2121352,Andhra Pradesh
379,2018,2,Peer-to-peer payments,4784079,20748520742.57553,Andhra Pradesh
380,2018,2,Recharge & bill payments,4686542,1274130053.834579,Andhra Pradesh
381,2018,2,Merchant payments,701082,551696487.3185428,Andhra Pradesh
382,2018,2,Financial Services,277805,85498213.25384143,Andhra Pradesh
383,2018,2,Others,315162,357356020.669816,Andhra Pradesh
384,2018,3,Peer-to-peer payments,11560952,29253505738.828743,Andhra Pradesh
385,2018,3,Recharge & bill payments,5328881,1568136060.627837,Andhra Pradesh
386,2018,3,Merchant payments,1770075,855534175.4794186,Andhra Pradesh
387,2018,3,Financial Services,307312,52554123.97376218,Andhra Pradesh
388,2018,3,Others,365483,300363110.81379545,Andhra Pradesh
389,2018,4,Peer-to-peer payments,15571288,44541667501.74112,Andhra Pradesh
390,2018,4,Recharge & bill payments,7121135,2165870863.16865,Andhra Pradesh
391,2018,4,Merchant payments,5315161,2356841304.9649296,Andhra Pradesh
392,2018,4,Financial Services,392423,64569231.23559249,Andhra Pradesh
